1682447133.573248 client started (80551): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1682447133.573299 on Darwin 22.2.0 Darwin Kernel Version 22.2.0: Fri Nov 11 02:08:47 PST 2022; root:xnu-8792.61.2~4/RELEASE_X86_64
1682447133.573322 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1682447133.573360 flags are 0x10010000
1682447133.573370 socket is /private/tmp/tmux-501/default
1682447133.573384 trying connect
1682447133.573466 add peer 0x7fca3e031000: 6 (0x0)
1682447133.579944 sending message 100 to peer 0x7fca3e031000 (4 bytes)
1682447133.580142 sending message 111 to peer 0x7fca3e031000 (8 bytes)
1682447133.580178 sending message 101 to peer 0x7fca3e031000 (16 bytes)
1682447133.580193 sending message 109 to peer 0x7fca3e031000 (4 bytes)
1682447133.580213 sending message 102 to peer 0x7fca3e031000 (13 bytes)
1682447133.580227 sending message 108 to peer 0x7fca3e031000 (28 bytes)
1682447133.580244 sending message 112 to peer 0x7fca3e031000 (70 bytes)
1682447133.580258 sending message 112 to peer 0x7fca3e031000 (5 bytes)
1682447133.580273 sending message 112 to peer 0x7fca3e031000 (5 bytes)
1682447133.580287 sending message 112 to peer 0x7fca3e031000 (6 bytes)
1682447133.580300 sending message 112 to peer 0x7fca3e031000 (6 bytes)
1682447133.580316 sending message 112 to peer 0x7fca3e031000 (11 bytes)
1682447133.580332 sending message 112 to peer 0x7fca3e031000 (10 bytes)
1682447133.580346 sending message 112 to peer 0x7fca3e031000 (13 bytes)
1682447133.580365 sending message 112 to peer 0x7fca3e031000 (13 bytes)
1682447133.580390 sending message 112 to peer 0x7fca3e031000 (18 bytes)
1682447133.580413 sending message 112 to peer 0x7fca3e031000 (11 bytes)
1682447133.580431 sending message 112 to peer 0x7fca3e031000 (21 bytes)
1682447133.580450 sending message 112 to peer 0x7fca3e031000 (13 bytes)
1682447133.580465 sending message 112 to peer 0x7fca3e031000 (7 bytes)
1682447133.580481 sending message 112 to peer 0x7fca3e031000 (13 bytes)
1682447133.580499 sending message 112 to peer 0x7fca3e031000 (7 bytes)
1682447133.580520 sending message 112 to peer 0x7fca3e031000 (13 bytes)
1682447133.580543 sending message 112 to peer 0x7fca3e031000 (9 bytes)
1682447133.580565 sending message 112 to peer 0x7fca3e031000 (21 bytes)
1682447133.580584 sending message 112 to peer 0x7fca3e031000 (13 bytes)
